ImgID;Number_of_NMJ;NMJ_id;Denervation
6260SOL-D1;1;a;Non
6260SOL-D10;1;a;Non
6260SOL-D10;1;b;Non
6260SOL-D10;1;c;Non
6260SOL-D10;1;d;Partielle
6260SOL-D11;1;a;Non
6260SOL-D11;1;b;Non
6260SOL-D12;1;a;Non
6260SOL-D12;1;b;Non
6260SOL-D13;1;a;Partielle
6260SOL-D13;1;b;Non
6260SOL-D14;1;a;Non
6260SOL-D14;1;b;Non
6260SOL-D15;1;a;Non
6260SOL-D16;1;a;Non
6260SOL-D17;1;a;Non
6260SOL-D19;1;a;Non
6260SOL-D19;1;b;Non
6260SOL-D2;1;a;Non
6260SOL-D2;1;b;Non
6260SOL-D20;1;a;Non
6260SOL-D20;1;b;Non
6260SOL-D3;1;a;Non
6260SOL-D4;1;a;Non
6260SOL-D4;1;b;Non
6260SOL-D5;1;a;Partielle
6260SOL-D5;1;b;Non
6260SOL-D6;1;a;Non
6260SOL-D7;1;a;Non
6260SOL-D8;1;a;Non
6260SOL-G1;1;a;Non
6260SOL-G1;1;b;Non
6260SOL-G1;1;c;Non
6260SOL-G11;1;a;Non
6260SOL-G11;1;b;Complete
6260SOL-G12;1;a;Non
6260SOL-G13;1;a;Complete
6260SOL-G14;1;a;Partielle
6260SOL-G14;1;b;Partielle
6260SOL-G15;1;a;Non
6260SOL-G16;1;a;Non
6260SOL-G16;1;b;Non
6260SOL-G17;1;a;Complete
6260SOL-G17;1;b;Non
6260SOL-G18;1;a;Complete
6260SOL-G18;1;b;Non
6260SOL-G19;1;a;Non
6260SOL-G19;1;b;Non
6260SOL-G2;1;a;Non
6260SOL-G2;1;b;Non
6260SOL-G20;1;a;Non
6260SOL-G20;1;b;Non
6260SOL-G21;1;a;Non
6260SOL-G22;1;a;Non
6260SOL-G22;1;b;Non
6260SOL-G3;1;a;Non
6260SOL-G3;1;b;Non
6260SOL-G4;1;a;Non
6260SOL-G5;1;a;Non
6260SOL-G5;1;b;Non
6260SOL-G6;1;a;Complete
6260SOL-G7;1;a;Non
6260SOL-G7;1;b;Non
6260SOL-G8;1;a;Partielle
6260SOL-G9;1;a;Non
6261SOL-D1;1;a;Complete
6261SOL-D10;1;a;Non
6261SOL-D11;1;a;Non
6261SOL-D11;1;b;Non
6261SOL-D12;1;a;Non
6261SOL-D12;1;b;Non
6261SOL-D13;1;a;Non
6261SOL-D14;1;a;Non
6261SOL-D14;1;b;Non
6261SOL-D15;1;a;Non
6261SOL-D16;1;a;Non
6261SOL-D2;1;a;Non
6261SOL-D2;1;b;Non
6261SOL-D3;1;a;Non
6261SOL-D4;1;a;Partielle
6261SOL-D4;1;b;Non
6261SOL-D5;1;a;Non
6261SOL-D5;1;b;Non
6261SOL-D5;1;c;Non
6261SOL-D6;1;a;Non
6261SOL-D6;1;b;Non
6261SOL-D7;1;a;Non
6261SOL-D7;1;b;Complete
6261SOL-D8;1;a;Complete
6261SOL-D8;1;b;Non
6261SOL-D9;1;a;Partielle
6261SOL-G1;1;a;Non
6261SOL-G10;1;a;Non
6261SOL-G11;1;a;Non
6261SOL-G11;1;b;Non
6261SOL-G12;1;a;Non
6261SOL-G13;1;a;Non
6261SOL-G13;1;b;Partielle
6261SOL-G13;1;c;Non
6261SOL-G13;1;d;Non
6261SOL-G14;1;a;Non
